from,to,cost
N23,N24,86.00
N24,N23,86.00
N24,N25,90.00
N25,N24,90.00
N25,N26,145.00
N26,N25,145.00
N17,N18,95.00
N18,N17,95.00
N18,N19,87.00
N19,N18,87.00
N19,N20,90.00
N20,N19,90.00
N20,N21,149.00
N21,N20,149.00
N21,N22,131.00
N22,N21,131.00
N6,N12,143.56
N12,N6,143.56
N12,N13,62.24
N13,N12,62.24
N13,N14,91.35
N14,N13,91.35
N14,N15,147.00
N15,N14,147.00
N15,N16,133.00
N16,N15,133.00
N1,N3,3000
N3,N1,3000
N28,N4,3000
N4,N28,3000
N1,N12,194.49
N12,N18,137.59
N18,N23,103.00
N24,N19,103.00
N19,N13,109.00
N13,N7,3000
N25,N20,103.00
N20,N14,101.02
N14,N9,3000
N26,N21,103.08
N21,N15,101.00
N15,N10,60.00
N10,N5,109.00
N5,N28,63.00
N28,N2,9.00
N22,N16,101.02
N16,N11,60.00
N11,N27,61.66
N27,N29,17.00
N6,N17,197.02
N29,N2,185.43
N27,N5,129.96
N11,N10,133.00
N10,N8,3000
N8,N4,3000
N4,N3,3000
N3,N7,3000
N7,N9,3000
N9,N8,3000
