id,x_cm,y_cm,label
N1,181,449,Breadcrumb Ave / Waddle Way
N2,452,464,Duckling Dr / Beak St
N3,284,383,Breadcrumb Ave / The Circle
N4,335,377,Tail Ave / The Circle
N5,452,392,Drake Dr / Beak St
N6,28,319,Pondside Ave / Quack St
N7,273,297,The Circle / Waterfoul Way
N8,350,314,Dabbler Dr / The Circle
N9,305,286,The Circle / Feather St
N10,452,283,Dabbler Dr / Beak St
N11,585,283,Dabbler Dr / Mallard St
N12,157,256,Pondside Ave / Waddle Way
N13,214,231,Pondside Ave / Waterfoul Way
N14,305,223,Pondside Ave / Feather St
N15,452,223,Pondside Ave / Beak St
N16,585,223,Pondside Ave / Mallard St
N17,31,122,Migration Ave / Quack St
N18,126,122,Migration Ave / Waddle Way
N19,213,122,Migration Ave / Waterfoul Way
N20,303,122,Migration Ave / Feather St
N21,452,122,Migration Ave / Beak St
N22,583,122,Migration Ave / Mallard St
N23,127,19,Aquatic Ave / Waddle Way
N24,213,19,Aquatic Ave / Waterfoul Way
N25,303,19,Aquatic Ave / Feather St
N26,448,19,Aquatic Ave / Beak St
N27,576,344,Drake Dr / Mallard St
N28,452,455,Tail Ave / Beak St
N29,593,344,Duckling Dr / Mallard St
